,Customer_ID,snapshot_date,fe_1,fe_2,fe_3,fe_4,fe_5,fe_6,fe_7,fe_8,fe_9,fe_10,fe_11,fe_12,fe_13,fe_14,fe_15,fe_16,fe_17,fe_18,fe_19,fe_20,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Age,Occupation
0,CUS_0x100b,2024-03-01,210,129,107,118,-51,67,40,88,189,123,125,2,60,242,177,29,-94,-38,380,-199,113781.39,9549.782,1,4,1.0,0.0,Unknown,14,8,8.34,4.0,Good,1030.2,28.592943,15,No,0.0,617.0793,High_spent_Small_value_payments,597.899,19,Media_Manager
1,CUS_0x1096,2024-03-01,-60,21,214,76,32,-83,179,112,106,25,140,-142,84,62,165,-121,149,188,28,55,12931.56,1348.63,4,4,9.0,3.0,"Not Specified, Debt Consolidation Loan, and Home Equity Loan",18,20,18.51,3.0,Standard,752.86,27.70975,21,Yes,20.579155,105.56661,Low_spent_Small_value_payments,298.71722,43,Lawyer
2,CUS_0x111c,2024-03-01,84,-41,137,328,45,93,-39,248,114,212,205,239,42,-181,74,-34,-16,221,92,62,71809.76,6168.1465,7,7,17.0,8.0,"Debt Consolidation Loan, Not Specified, Home Equity Loan, Auto Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Personal Loan",52,15,1.58,7.0,Unknown,4439.92,34.462307,6,Yes,297.9177,91.85937,High_spent_Large_value_payments,467.03763,24,Journalist
3,CUS_0x1204,2024-03-01,129,173,196,-92,46,196,74,-34,155,147,172,92,191,-33,-22,-12,80,37,-91,158,18829.82,1578.1516,8,8,24.0,4.0,"Mortgage Loan, Personal Loan, Payday Loan, and Debt Consolidation Loan",23,6,12.36,13.0,Standard,1752.02,28.936201,9,Yes,34.90701,145.3163,Low_spent_Large_value_payments,282.95023,46,Writer
4,CUS_0x12af,2024-03-01,-14,110,145,155,295,153,-42,58,-55,221,-55,90,292,197,80,131,23,102,179,153,33799.36,2944.6133,5,3,19.0,4.0,"Personal Loan, Not Specified, Mortgage Loan, and Personal Loan",15,13,22.35,5.0,Standard,173.76,28.183361,6,Yes,75.098076,235.38234,Low_spent_Large_value_payments,253.98091,37,Manager
5,CUS_0x12cb,2024-03-01,59,180,222,115,180,247,-8,59,100,90,27,252,143,120,276,210,55,29,89,96,45188.52,3868.71,9,10,22.0,7.0,"Home Equity Loan, Student Loan, Home Equity Loan, Student Loan, Mortgage Loan, Home Equity Loan, and Home Equity Loan",44,20,10.45,11.0,Standard,1960.28,30.690632,15,Yes,154.35745,150.5001,High_spent_Small_value_payments,342.01343,39,Writer
6,CUS_0x12fc,2024-03-01,193,178,101,169,36,115,94,109,-128,-16,116,247,102,-50,110,131,35,120,298,26,128450.32,10943.193,1,5,4.0,3.0,"Home Equity Loan, Student Loan, and Personal Loan",8,2,6.66,4.0,Good,23.79,29.21807,30,NM,161.48753,845.0664,Low_spent_Medium_value_payments,367.7654,18,Manager
7,CUS_0x144c,2024-03-01,227,-136,77,57,97,60,156,8,35,185,161,118,82,52,75,161,79,132,145,120,15948.285,1625.0238,4,4,5.0,3.0,"Auto Loan, Student Loan, and Payday Loan",8,9,3.42,6.0,Good,1068.42,38.749367,25,No,23.813211,29.667957,High_spent_Medium_value_payments,359.0212,53,Mechanic
8,CUS_0x1591,2024-03-01,178,5,46,-39,-170,54,164,273,81,83,197,-76,139,102,93,234,122,237,-71,67,150746.88,12589.24,0,5,11.0,0.0,Unknown,2,4,1.31,3.0,Good,696.58,36.90125,30,No,0.0,1103.3564,Low_spent_Medium_value_payments,435.56754,20,Writer
9,CUS_0x15d5,2024-03-01,110,-9,140,123,143,214,94,4,294,125,33,159,254,24,-31,150,32,-5,67,140,72207.52,5881.2935,6,7,21.0,5.0,"Home Equity Loan, Debt Consolidation Loan, Not Specified, Not Specified, and Auto Loan",44,28,8.61,16.0,Bad,1803.68,33.78807,13,Yes,287.62378,284.32257,High_spent_Small_value_payments,276.18298,24,Teacher
