loan_id,Customer_ID,label,label_def,snapshot_date
CUS_0x1037_2023_01_01,CUS_0x1037,0,30dpd_6mob,2023-07-01
CUS_0x1069_2023_01_01,CUS_0x1069,0,30dpd_6mob,2023-07-01
CUS_0x114a_2023_01_01,CUS_0x114a,0,30dpd_6mob,2023-07-01
CUS_0x1184_2023_01_01,CUS_0x1184,0,30dpd_6mob,2023-07-01
CUS_0x1297_2023_01_01,CUS_0x1297,1,30dpd_6mob,2023-07-01
CUS_0x12fb_2023_01_01,CUS_0x12fb,0,30dpd_6mob,2023-07-01
CUS_0x1325_2023_01_01,CUS_0x1325,0,30dpd_6mob,2023-07-01
CUS_0x1341_2023_01_01,CUS_0x1341,0,30dpd_6mob,2023-07-01
CUS_0x1375_2023_01_01,CUS_0x1375,1,30dpd_6mob,2023-07-01
CUS_0x13a8_2023_01_01,CUS_0x13a8,0,30dpd_6mob,2023-07-01
CUS_0x13ef_2023_01_01,CUS_0x13ef,0,30dpd_6mob,2023-07-01
CUS_0x1440_2023_01_01,CUS_0x1440,0,30dpd_6mob,2023-07-01
CUS_0x1443_2023_01_01,CUS_0x1443,0,30dpd_6mob,2023-07-01
CUS_0x145a_2023_01_01,CUS_0x145a,0,30dpd_6mob,2023-07-01
CUS_0x1492_2023_01_01,CUS_0x1492,0,30dpd_6mob,2023-07-01
CUS_0x153d_2023_01_01,CUS_0x153d,0,30dpd_6mob,2023-07-01
CUS_0x1567_2023_01_01,CUS_0x1567,0,30dpd_6mob,2023-07-01
CUS_0x15ad_2023_01_01,CUS_0x15ad,1,30dpd_6mob,2023-07-01
CUS_0x1630_2023_01_01,CUS_0x1630,1,30dpd_6mob,2023-07-01
CUS_0x169c_2023_01_01,CUS_0x169c,0,30dpd_6mob,2023-07-01
CUS_0x169d_2023_01_01,CUS_0x169d,0,30dpd_6mob,2023-07-01
CUS_0x16f4_2023_01_01,CUS_0x16f4,0,30dpd_6mob,2023-07-01
CUS_0x1733_2023_01_01,CUS_0x1733,1,30dpd_6mob,2023-07-01
CUS_0x17c7_2023_01_01,CUS_0x17c7,0,30dpd_6mob,2023-07-01
CUS_0x181e_2023_01_01,CUS_0x181e,0,30dpd_6mob,2023-07-01
CUS_0x181f_2023_01_01,CUS_0x181f,1,30dpd_6mob,2023-07-01
CUS_0x182b_2023_01_01,CUS_0x182b,0,30dpd_6mob,2023-07-01
CUS_0x18c9_2023_01_01,CUS_0x18c9,1,30dpd_6mob,2023-07-01
CUS_0x190e_2023_01_01,CUS_0x190e,0,30dpd_6mob,2023-07-01
CUS_0x1920_2023_01_01,CUS_0x1920,0,30dpd_6mob,2023-07-01
CUS_0x1960_2023_01_01,CUS_0x1960,0,30dpd_6mob,2023-07-01
CUS_0x19ad_2023_01_01,CUS_0x19ad,0,30dpd_6mob,2023-07-01
CUS_0x19d1_2023_01_01,CUS_0x19d1,1,30dpd_6mob,2023-07-01
CUS_0x19e1_2023_01_01,CUS_0x19e1,0,30dpd_6mob,2023-07-01
CUS_0x1a9c_2023_01_01,CUS_0x1a9c,0,30dpd_6mob,2023-07-01
CUS_0x1ab3_2023_01_01,CUS_0x1ab3,0,30dpd_6mob,2023-07-01
CUS_0x1b42_2023_01_01,CUS_0x1b42,0,30dpd_6mob,2023-07-01
CUS_0x1b66_2023_01_01,CUS_0x1b66,0,30dpd_6mob,2023-07-01
CUS_0x1bc4_2023_01_01,CUS_0x1bc4,0,30dpd_6mob,2023-07-01
CUS_0x1c09_2023_01_01,CUS_0x1c09,0,30dpd_6mob,2023-07-01
CUS_0x1c39_2023_01_01,CUS_0x1c39,0,30dpd_6mob,2023-07-01
CUS_0x1c9c_2023_01_01,CUS_0x1c9c,1,30dpd_6mob,2023-07-01
CUS_0x1dcf_2023_01_01,CUS_0x1dcf,1,30dpd_6mob,2023-07-01
CUS_0x1ef5_2023_01_01,CUS_0x1ef5,0,30dpd_6mob,2023-07-01
CUS_0x1ff5_2023_01_01,CUS_0x1ff5,0,30dpd_6mob,2023-07-01
CUS_0x1ff7_2023_01_01,CUS_0x1ff7,0,30dpd_6mob,2023-07-01
CUS_0x205c_2023_01_01,CUS_0x205c,0,30dpd_6mob,2023-07-01
CUS_0x210f_2023_01_01,CUS_0x210f,0,30dpd_6mob,2023-07-01
CUS_0x21dc_2023_01_01,CUS_0x21dc,0,30dpd_6mob,2023-07-01
CUS_0x2274_2023_01_01,CUS_0x2274,0,30dpd_6mob,2023-07-01
CUS_0x2297_2023_01_01,CUS_0x2297,0,30dpd_6mob,2023-07-01
CUS_0x2375_2023_01_01,CUS_0x2375,0,30dpd_6mob,2023-07-01
CUS_0x24a8_2023_01_01,CUS_0x24a8,0,30dpd_6mob,2023-07-01
CUS_0x24c3_2023_01_01,CUS_0x24c3,0,30dpd_6mob,2023-07-01
